estado,edad,Poblacion,hombres,mujeres
Chiapas,85,4579,2208,2371
Chiapas,86,2806,1391,1415
Chiapas,87,2305,1126,1179
Chiapas,88,2203,1096,1107
Chiapas,89,1620,751,869
Chiapas,90,2953,1446,1507
Chiapas,91,644,320,324
Chiapas,92,781,390,391
Chiapas,93,676,345,331
Chiapas,94,515,253,262
Chiapas,95,888,409,479
Chiapas,96,530,258,272
Chiapas,97,332,154,178
Chiapas,98,487,232,255
Chiapas,99,346,173,173
Chiapas,100,1467,726,741
Chiapas,NE,56400,28159,28241
Chihuahua,0,58569,29688,28881
Chihuahua,1,60734,30953,29781
Chihuahua,2,66899,33962,32937
Chihuahua,3,68972,34816,34156
Chihuahua,4,67502,34188,33314
Chihuahua,5,67030,34156,32874
Chihuahua,6,66932,33952,32980
Chihuahua,7,66150,33688,32462
Chihuahua,8,68335,35040,33295
Chihuahua,9,66617,33641,32976
Chihuahua,10,70119,36041,34078
Chihuahua,11,63512,32187,31325
Chihuahua,12,65841,33494,32347
Chihuahua,13,61643,31031,30612
Chihuahua,14,63546,31996,31550
Chihuahua,15,65101,32716,32385
Chihuahua,16,62804,31719,31085
Chihuahua,17,66643,33723,32920
Chihuahua,18,67223,34070,33153
Chihuahua,19,60263,30260,30003
Chihuahua,20,62952,31391,31561
Chihuahua,21,55144,27639,27505
Chihuahua,22,57993,29091,28902
Chihuahua,23,56026,28055,27971
Chihuahua,24,53757,26777,26980
Chihuahua,25,54835,27003,27832
Chihuahua,26,50522,24809,25713
Chihuahua,27,50779,25395,25384
Chihuahua,28,52323,26001,26322
Chihuahua,29,46577,23177,23400
Chihuahua,30,58873,29561,29312
Chihuahua,31,40971,19962,21009
Chihuahua,32,52985,25994,26991
Chihuahua,33,49436,24385,25051
Chihuahua,34,49039,24235,24804
Chihuahua,35,54718,26925,27793
Chihuahua,36,53653,26184,27469
Chihuahua,37,49913,24805,25108
Chihuahua,38,55700,27906,27794
Chihuahua,39,45984,22628,23356
Chihuahua,40,57192,28164,29028
Chihuahua,41,36815,18139,18676
Chihuahua,42,51399,25940,25459
Chihuahua,43,40769,19936,20833
Chihuahua,44,36581,17765,18816
Chihuahua,45,43754,21657,22097
Chihuahua,46,35868,17375,18493
Chihuahua,47,34997,17076,17921
Chihuahua,48,36603,17783,18820
Chihuahua,49,31931,15472,16459
Chihuahua,50,40980,20021,20959
Chihuahua,51,23913,11454,12459
Chihuahua,52,31024,15066,15958
Chihuahua,53,26953,12950,14003
Chihuahua,54,26199,12497,13702
Chihuahua,55,26255,12709,13546
Chihuahua,56,23678,11591,12087
Chihuahua,57,19334,9315,10019
Chihuahua,58,20405,9600,10805
Chihuahua,59,18935,9096,9839
Chihuahua,60,25402,12066,13336
Chihuahua,61,13192,6231,6961
Chihuahua,62,18468,8783,9685
Chihuahua,63,16957,8160,8797
Chihuahua,64,15523,7294,8229
Chihuahua,65,18117,8626,9491
Chihuahua,66,12950,6072,6878
Chihuahua,67,13029,6279,6750
Chihuahua,68,13356,6356,7000
Chihuahua,69,11357,5478,5879
Chihuahua,70,15788,7473,8315
Chihuahua,71,7885,3846,4039
Chihuahua,72,11673,5755,5918
Chihuahua,73,9874,4756,5118
Chihuahua,74,9199,4443,4756
Chihuahua,75,9463,4601,4862
Chihuahua,76,7427,3598,3829
Chihuahua,77,5809,2806,3003
Chihuahua,78,6964,3333,3631
Chihuahua,79,4723,2206,2517
Chihuahua,80,6739,3014,3725
Chihuahua,81,3147,1500,1647
Chihuahua,82,4021,1865,2156
Chihuahua,83,3416,1558,1858
Chihuahua,84,3381,1498,1883
Chihuahua,85,3137,1316,1821
Chihuahua,86,2324,1063,1261
Chihuahua,87,1900,822,1078
Chihuahua,88,1512,664,848
Chihuahua,89,1311,539,772
Chihuahua,90,1302,539,763
Chihuahua,91,484,227,257
Chihuahua,92,621,256,365
Chihuahua,93,494,206,288
Chihuahua,94,393,155,238
Chihuahua,95,341,130,211
Chihuahua,96,281,120,161
Chihuahua,97,190,74,116
Chihuahua,98,170,60,110
Chihuahua,99,119,44,75
Chihuahua,100,286,113,173
Chihuahua,NE,103540,51770,51770
Distrito Federal,0,112784,57597,55187
Distrito Federal,1,116999,59723,57276
Distrito Federal,2,127607,64798,62809
Distrito Federal,3,129866,65896,63970
Distrito Federal,4,130989,66687,64302
Distrito Federal,5,130231,66451,63780
Distrito Federal,6,132294,67214,65080
Distrito Federal,7,130124,65763,64361
Distrito Federal,8,135359,69021,66338
Distrito Federal,9,130940,66436,64504
Distrito Federal,10,139242,71442,67800
Distrito Federal,11,126154,63732,62422
Distrito Federal,12,132222,66924,65298
Distrito Federal,13,129596,65521,64075
Distrito Federal,14,133131,67055,66076
Distrito Federal,15,140254,70911,69343
Distrito Federal,16,137600,69017,68583
Distrito Federal,17,148356,74900,73456
Distrito Federal,18,155707,78437,77270
Distrito Federal,19,141455,70000,71455
Distrito Federal,20,157454,78079,79375
Distrito Federal,21,141214,70671,70543
Distrito Federal,22,156867,77803,79064
Distrito Federal,23,149674,73015,76659
Distrito Federal,24,148195,72800,75395
Distrito Federal,25,154884,75374,79510
Distrito Federal,26,144731,69855,74876
Distrito Federal,27,144128,70340,73788
Distrito Federal,28,152265,74583,77682
Distrito Federal,29,130688,62817,67871
Distrito Federal,30,169972,81710,88262
Distrito Federal,31,112665,54010,58655
Distrito Federal,32,148589,70512,78077
Distrito Federal,33,136273,65336,70937
Distrito Federal,34,135143,64420,70723
Distrito Federal,35,155010,73200,81810
Distrito Federal,36,147611,69552,78059
Distrito Federal,37,137599,65372,72227
Distrito Federal,38,155277,74030,81247
Distrito Federal,39,126717,59711,67006
Distrito Federal,40,169684,79823,89861
Distrito Federal,41,99675,46550,53125
Distrito Federal,42,146375,69387,76988
Distrito Federal,43,112332,52179,60153
Distrito Federal,44,101497,47212,54285
Distrito Federal,45,129900,60191,69709
Distrito Federal,46,106819,49139,57680
Distrito Federal,47,105506,48679,56827
Distrito Federal,48,112037,51490,60547
Distrito Federal,49,101219,46579,54640
Distrito Federal,50,136745,62548,74197
Distrito Federal,51,80350,36466,43884
Distrito Federal,52,108358,49804,58554
Distrito Federal,53,90853,41363,49490
Distrito Federal,54,90004,40144,49860
Distrito Federal,55,94832,43102,51730
Distrito Federal,56,86975,40079,46896
Distrito Federal,57,69963,32037,37926
Distrito Federal,58,74965,34117,40848
Distrito Federal,59,65451,29730,35721
Distrito Federal,60,87471,39617,47854
Distrito Federal,61,47186,20998,26188
Distrito Federal,62,64193,28773,35420
Distrito Federal,63,61425,27404,34021
Distrito Federal,64,55518,24218,31300
Distrito Federal,65,59466,26445,33021
Distrito Federal,66,41072,17781,23291
Distrito Federal,67,42369,18864,23505
Distrito Federal,68,48381,20720,27661
Distrito Federal,69,36337,16100,20237
Distrito Federal,70,49679,20936,28743
Distrito Federal,71,26379,11210,15169
Distrito Federal,72,38197,16062,22135
Distrito Federal,73,33498,14020,19478
Distrito Federal,74,31576,12999,18577
Distrito Federal,75,32349,13259,19090
Distrito Federal,76,26568,10906,15662
Distrito Federal,77,21668,8676,12992
Distrito Federal,78,24943,10282,14661
Distrito Federal,79,18971,7672,11299
Distrito Federal,80,25174,9336,15838
Distrito Federal,81,13179,5209,7970
Distrito Federal,82,17463,6621,10842
Distrito Federal,83,14774,5533,9241
Distrito Federal,84,14531,5313,9218
Distrito Federal,85,13546,4777,8769
Distrito Federal,86,10918,4047,6871
Distrito Federal,87,9275,3418,5857
Distrito Federal,88,7205,2681,4524
Distrito Federal,89,6226,2139,4087
Distrito Federal,90,6312,2032,4280
Distrito Federal,91,2776,928,1848
Distrito Federal,92,3599,1141,2458
Distrito Federal,93,2665,843,1822
Distrito Federal,94,1873,585,1288
Distrito Federal,95,1762,522,1240
Distrito Federal,96,1505,445,1060
Distrito Federal,97,1055,308,747
Distrito Federal,98,900,260,640
Distrito Federal,99,575,153,422
Distrito Federal,100,1089,321,768
Distrito Federal,NE,198026,98895,99131
Durango,0,31371,15944,15427
Durango,1,31349,16077,15272
Durango,2,33044,16744,16300
Durango,3,32868,16394,16474
Durango,4,33068,16887,16181
Durango,5,32479,16612,15867
Durango,6,33577,16998,16579
Durango,7,33110,16665,16445
Durango,8,33888,17442,16446
Durango,9,33799,17106,16693
Durango,10,35205,18055,17150
Durango,11,32089,16118,15971
Durango,12,34113,17414,16699
Durango,13,32059,16387,15672
Durango,14,33714,16995,16719
Durango,15,34378,17541,16837
Durango,16,32436,16287,16149
Durango,17,34548,17391,17157
Durango,18,34887,17847,17040
Durango,19,30117,14970,15147
Durango,20,31929,15703,16226
Durango,21,27727,13632,14095
Durango,22,29714,14610,15104
Durango,23,27810,13753,14057
Durango,24,26197,12682,13515
Durango,25,25725,12441,13284
Durango,26,23651,11260,12391
Durango,27,23273,11308,11965
Durango,28,23770,11624,12146
Durango,29,21295,10345,10950
Durango,30,26529,12774,13755
Durango,31,19124,9146,9978
Durango,32,24382,11703,12679
Durango,33,23006,10954,12052
Durango,34,22253,10594,11659
Durango,35,23800,11425,12375
Durango,36,23382,11194,12188
Durango,37,21660,10463,11197
Durango,38,23949,11555,12394
Durango,39,20046,9607,10439
Durango,40,24574,11752,12822
Durango,41,15651,7338,8313
Durango,42,22527,10924,11603
Durango,43,17753,8468,9285
Durango,44,16354,7625,8729
Durango,45,19496,9212,10284
Durango,46,16201,7659,8542
Durango,47,15577,7358,8219
Durango,48,16376,7768,8608
Durango,49,14866,6970,7896
Durango,50,18842,9032,9810
Durango,51,10978,5190,5788
Durango,52,14494,6848,7646
Durango,53,12991,6204,6787
Durango,54,12969,6048,6921
Durango,55,13101,6273,6828
Durango,56,11410,5580,5830
Durango,57,9466,4583,4883
Durango,58,10211,4812,5399
Durango,59,9687,4774,4913
Durango,60,12353,5967,6386
Durango,61,6541,3093,3448
Durango,62,9206,4458,4748
Durango,63,8571,4086,4485
Durango,64,8022,3814,4208
Durango,65,8771,4247,4524
Durango,66,6690,3216,3474
Durango,67,6440,3209,3231
Durango,68,6758,3295,3463
Durango,69,5942,2981,2961
Durango,70,8296,4084,4212
Durango,71,4143,2035,2108
Durango,72,6376,3154,3222
Durango,73,5655,2813,2842
Durango,74,5263,2532,2731
Durango,75,5250,2611,2639
Durango,76,4186,2056,2130
Durango,77,3508,1752,1756
Durango,78,3944,1961,1983
Durango,79,2707,1359,1348
Durango,80,3941,1834,2107
Durango,81,1728,864,864
Durango,82,2360,1164,1196
Durango,83,1963,941,1022
Durango,84,2047,948,1099
Durango,85,1885,873,1012
Durango,86,1453,699,754
Durango,87,1116,554,562
Durango,88,893,434,459
Durango,89,732,325,407
Durango,90,836,370,466
Durango,91,251,107,144
Durango,92,374,157,217
Durango,93,278,114,164
Durango,94,214,95,119
Durango,95,210,88,122
Durango,96,180,77,103
Durango,97,127,57,70
Durango,98,140,74,66
Durango,99,96,40,56
Durango,100,235,84,151
Durango,NE,28408,14203,14205
Guanajuato,0,104937,53225,51712
Guanajuato,1,105898,53870,52028
Guanajuato,2,111810,56617,55193
Guanajuato,3,112048,56450,55598
Guanajuato,4,112773,57098,55675
Guanajuato,5,112917,57499,55418
Guanajuato,6,114237,57989,56248
Guanajuato,7,114512,57631,56881
Guanajuato,8,117644,60026,57618
Guanajuato,9,119811,60552,59259
Guanajuato,10,123007,62473,60534
Guanajuato,11,112989,57022,55967
Guanajuato,12,117039,59276,57763
Guanajuato,13,112449,56895,55554
Guanajuato,14,115116,57946,57170
Guanajuato,15,118317,59446,58871
Guanajuato,16,113551,56368,57183
Guanajuato,17,118296,58771,59525
Guanajuato,18,118753,58391,60362
Guanajuato,19,102048,48525,53523
Guanajuato,20,106401,50126,56275
Guanajuato,21,92707,43789,48918
Guanajuato,22,102372,48181,54191
Guanajuato,23,97564,45451,52113
Guanajuato,24,94123,43445,50678
Guanajuato,25,91829,42236,49593
Guanajuato,26,84070,38633,45437
Guanajuato,27,85373,39600,45773
Guanajuato,28,86104,39675,46429
Guanajuato,29,77915,36104,41811
Guanajuato,30,97661,44980,52681
Guanajuato,31,66538,30536,36002
Guanajuato,32,86567,39742,46825
Guanajuato,33,79970,37115,42855
Guanajuato,34,76976,35515,41461
Guanajuato,35,83343,38752,44591
Guanajuato,36,80557,37401,43156
Guanajuato,37,73976,34886,39090
Guanajuato,38,81345,38015,43330
Guanajuato,39,68466,32108,36358
Guanajuato,40,84079,38987,45092
Guanajuato,41,52186,24558,27628
Guanajuato,42,74043,34948,39095
Guanajuato,43,59138,27074,32064
Guanajuato,44,55208,25261,29947
Guanajuato,45,63421,29612,33809
Guanajuato,46,52589,24296,28293
Guanajuato,47,50228,23506,26722
Guanajuato,48,52583,24270,28313
Guanajuato,49,47644,22203,25441
Guanajuato,50,61344,28553,32791
Guanajuato,51,35523,16664,18859
Guanajuato,52,47002,22139,24863
Guanajuato,53,41797,19428,22369
Guanajuato,54,40094,18268,21826
Guanajuato,55,42960,20133,22827
Guanajuato,56,38406,18331,20075
Guanajuato,57,31229,14867,16362
Guanajuato,58,32267,15120,17147
Guanajuato,59,29538,13980,15558
Guanajuato,60,39428,18693,20735
Guanajuato,61,20373,9638,10735
Guanajuato,62,27653,12931,14722
Guanajuato,63,27630,12836,14794
Guanajuato,64,25145,11653,13492
Guanajuato,65,26991,12784,14207
Guanajuato,66,20449,9471,10978
Guanajuato,67,19577,9508,10069
Guanajuato,68,20345,9426,10919
Guanajuato,69,17867,8505,9362
Guanajuato,70,25578,12050,13528
Guanajuato,71,11621,5453,6168
Guanajuato,72,17859,8307,9552
Guanajuato,73,16033,7369,8664
Guanajuato,74,15559,7259,8300
Guanajuato,75,16199,7500,8699
Guanajuato,76,12691,5995,6696
Guanajuato,77,10617,4932,5685
Guanajuato,78,12339,5859,6480
Guanajuato,79,8495,4006,4489
Guanajuato,80,13584,6088,7496
Guanajuato,81,5959,2794,3165
Guanajuato,82,8084,3699,4385
Guanajuato,83,7393,3318,4075
Guanajuato,84,7342,3260,4082
Guanajuato,85,7280,3262,4018
Guanajuato,86,5487,2467,3020
Guanajuato,87,4588,1994,2594
Guanajuato,88,3914,1771,2143
Guanajuato,89,2894,1244,1650
Guanajuato,90,3493,1504,1989
Guanajuato,91,1234,524,710
Guanajuato,92,1635,676,959
Guanajuato,93,1201,501,700
Guanajuato,94,1040,411,629
Guanajuato,95,922,363,559
Guanajuato,96,911,375,536
Guanajuato,97,637,253,384
Guanajuato,98,683,238,445
Guanajuato,99,435,174,261
Guanajuato,100,766,276,490
Guanajuato,NE,31153,15500,15653
Guerrero,0,67475,34510,32965
Guerrero,1,69097,35319,33778
Guerrero,2,70375,35812,34563
Guerrero,3,72939,36571,36368
Guerrero,4,73123,37034,36089
Guerrero,5,73082,37040,36042
Guerrero,6,73122,36698,36424
Guerrero,7,74708,37907,36801
Guerrero,8,77862,39341,38521
Guerrero,9,79423,40067,39356
Guerrero,10,83704,42773,40931
Guerrero,11,73077,36743,36334
Guerrero,12,79504,40439,39065
Guerrero,13,76944,38749,38195
Guerrero,14,80149,40184,39965
Guerrero,15,81952,41075,40877
Guerrero,16,75099,37203,37896
Guerrero,17,77331,38826,38505
Guerrero,18,77606,38823,38783
Guerrero,19,60203,28718,31485
Guerrero,20,67947,32397,35550
Guerrero,21,52398,24925,27473
Guerrero,22,59690,28521,31169
Guerrero,23,56651,26659,29992
Guerrero,24,53998,25491,28507
Guerrero,25,53418,25067,28351
Guerrero,26,46600,21621,24979
Guerrero,27,46975,22219,24756
Guerrero,28,48763,22816,25947
Guerrero,29,42059,19705,22354
Guerrero,30,57178,27125,30053
Guerrero,31,33688,15469,18219
Guerrero,32,48313,22499,25814
Guerrero,33,42675,19995,22680
Guerrero,34,41628,19385,22243
Guerrero,35,47709,22362,25347
Guerrero,36,43319,20296,23023
Guerrero,37,38700,18378,20322
Guerrero,38,45822,21430,24392
Guerrero,39,36373,16854,19519
Guerrero,40,50714,24203,26511
Guerrero,41,25094,11828,13266
Guerrero,42,40193,19069,21124
Guerrero,43,31901,14750,17151
Guerrero,44,30580,14094,16486
Guerrero,45,38281,18038,20243
Guerrero,46,29313,13683,15630
Guerrero,47,28636,13370,15266
Guerrero,48,33470,15582,17888
Guerrero,49,28713,13303,15410
Guerrero,50,40196,19171,21025
Guerrero,51,19936,9383,10553
Guerrero,52,28106,13402,14704
Guerrero,53,23686,11147,12539
Guerrero,54,25336,11781,13555
Guerrero,55,28007,13368,14639
Guerrero,56,23666,11673,11993
Guerrero,57,19176,9278,9898
Guerrero,58,21619,10210,11409
Guerrero,59,18390,8703,9687
Guerrero,60,29247,13975,15272
Guerrero,61,11460,5397,6063
Guerrero,62,16335,7728,8607
Guerrero,63,16510,7899,8611
Guerrero,64,15489,7137,8352
Guerrero,65,20776,9684,11092
Guerrero,66,13250,6222,7028
Guerrero,67,12937,6149,6788
Guerrero,68,14391,6587,7804
Guerrero,69,11379,5195,6184
Guerrero,70,23544,10865,12679
Guerrero,71,7946,3825,4121
Guerrero,72,13125,6177,6948
Guerrero,73,11331,5382,5949
Guerrero,74,10722,4979,5743
Guerrero,75,13245,6156,7089
Guerrero,76,8506,3949,4557
Guerrero,77,7345,3619,3726
Guerrero,78,8936,4250,4686
Guerrero,79,5717,2735,2982
Guerrero,80,11274,5176,6098
Guerrero,81,2943,1382,1561
Guerrero,82,4393,2090,2303
Guerrero,83,3917,1834,2083
Guerrero,84,3964,1796,2168
Guerrero,85,4966,2187,2779
Guerrero,86,2951,1325,1626
Guerrero,87,2700,1264,1436
Guerrero,88,2451,1173,1278
Guerrero,89,1824,860,964
Guerrero,90,3058,1321,1737
Guerrero,91,671,327,344
Guerrero,92,867,392,475
Guerrero,93,699,347,352
Guerrero,94,603,280,323
Guerrero,95,867,389,478
Guerrero,96,570,265,305
Guerrero,97,436,195,241
Guerrero,98,538,226,312
Guerrero,99,399,169,230
Guerrero,100,1186,505,681
Guerrero,NE,19608,11066,8542
Hidalgo,0,47742,24277,23465
Hidalgo,1,48924,25002,23922
Hidalgo,2,52171,26448,25723
Hidalgo,3,53202,26950,26252
Hidalgo,4,53163,26837,26326
Hidalgo,5,53251,27069,26182
Hidalgo,6,53749,27415,26334
Hidalgo,7,54371,27561,26810
Hidalgo,8,55034,27887,27147
Hidalgo,9,54776,27524,27252
Hidalgo,10,55684,28535,27149
Hidalgo,11,49782,25232,24550
Hidalgo,12,52104,26417,25687
Hidalgo,13,51178,25810,25368
Hidalgo,14,54278,27310,26968
Hidalgo,15,56573,28528,28045
Hidalgo,16,54302,27370,26932
Hidalgo,17,55974,28267,27707
Hidalgo,18,55684,27898,27786
Hidalgo,19,47069,22430,24639
Hidalgo,20,49645,23779,25866
Hidalgo,21,42310,19915,22395
Hidalgo,22,46183,21830,24353
Hidalgo,23,45046,20851,24195
Hidalgo,24,42986,19797,23189
Hidalgo,25,42824,19683,23141
Hidalgo,26,39881,18105,21776
Hidalgo,27,40019,18516,21503
Hidalgo,28,41236,18901,22335
Hidalgo,29,37074,16578,20496
Hidalgo,30,46824,21632,25192
Hidalgo,31,32350,14791,17559
Hidalgo,32,41548,18908,22640
Hidalgo,33,38732,17606,21126
Hidalgo,34,37593,17325,20268
Hidalgo,35,40648,18644,22004
Hidalgo,36,39698,18505,21193
Hidalgo,37,36183,16846,19337
Hidalgo,38,40653,18731,21922
Hidalgo,39,33949,15752,18197
Hidalgo,40,42672,20093,22579
Hidalgo,41,25218,11815,13403
Hidalgo,42,37285,17772,19513
Hidalgo,43,29849,13762,16087
Hidalgo,44,27833,12757,15076
Hidalgo,45,32877,15513,17364
Hidalgo,46,27080,12658,14422
Hidalgo,47,26210,12327,13883
Hidalgo,48,28181,13183,14998
Hidalgo,49,25977,12156,13821
Hidalgo,50,32176,15152,17024
Hidalgo,51,18615,8872,9743
Hidalgo,52,25188,12254,12934
Hidalgo,53,21867,10451,11416
Hidalgo,54,22458,10519,11939
Hidalgo,55,23377,11237,12140
Hidalgo,56,20931,10372,10559
Hidalgo,57,16742,8128,8614
Hidalgo,58,18199,8745,9454
Hidalgo,59,16016,7800,8216
Hidalgo,60,21788,10471,11317
Hidalgo,61,10504,5121,5383
Hidalgo,62,14425,7055,7370
Hidalgo,63,14219,6829,7390
Hidalgo,64,13540,6439,7101
Hidalgo,65,14452,6850,7602
Hidalgo,66,10930,5249,5681
Hidalgo,67,10389,5049,5340
Hidalgo,68,11450,5475,5975
Hidalgo,69,10448,5142,5306
Hidalgo,70,15344,6969,8375
Hidalgo,71,6432,3059,3373
Hidalgo,72,9561,4497,5064
Hidalgo,73,8544,4039,4505
Hidalgo,74,8187,3892,4295
Hidalgo,75,8670,3991,4679
Hidalgo,76,6484,3022,3462
Hidalgo,77,5219,2484,2735
Hidalgo,78,6574,3107,3467
Hidalgo,79,4332,2038,2294
Hidalgo,80,7042,3040,4002
Hidalgo,81,2592,1203,1389
Hidalgo,82,3605,1700,1905
Hidalgo,83,3171,1401,1770
Hidalgo,84,3587,1568,2019
Hidalgo,85,3736,1543,2193
Hidalgo,86,2702,1203,1499
Hidalgo,87,2209,942,1267
Hidalgo,88,1856,814,1042
Hidalgo,89,1540,637,903
Hidalgo,90,2054,815,1239
Hidalgo,91,597,259,338
Hidalgo,92,794,328,466
Hidalgo,93,636,266,370
Hidalgo,94,496,194,302
Hidalgo,95,578,206,372
Hidalgo,96,481,189,292
Hidalgo,97,305,109,196
Hidalgo,98,356,120,236
Hidalgo,99,232,92,140
Hidalgo,100,654,235,419
Hidalgo,NE,21159,10552,10607
Jalisco,0,132143,67171,64972
Jalisco,1,132886,67761,65125
Jalisco,2,141833,72216,69617
Jalisco,3,142937,72695,70242
Jalisco,4,145149,73908,71241
Jalisco,5,142467,72546,69921
Jalisco,6,145145,73571,71574
Jalisco,7,144908,73238,71670
Jalisco,8,147210,75062,72148
Jalisco,9,147345,74891,72454
Jalisco,10,151445,76879,74566
Jalisco,11,141543,71567,69976
Jalisco,12,143895,72995,70900
Jalisco,13,137787,70094,67693
Jalisco,14,139723,70562,69161
Jalisco,15,144924,73379,71545
Jalisco,16,139979,70553,69426
Jalisco,17,146565,74410,72155
Jalisco,18,149669,75609,74060
Jalisco,19,133866,66224,67642
Jalisco,20,140835,69469,71366
Jalisco,21,128813,63677,65136
Jalisco,22,138287,68281,70006
Jalisco,23,132428,64972,67456
Jalisco,24,128725,62746,65979
Jalisco,25,127964,61918,66046
Jalisco,26,119420,57587,61833
Jalisco,27,117839,57425,60414
Jalisco,28,118622,58002,60620
Jalisco,29,108188,52791,55397
Jalisco,30,128388,62284,66104
Jalisco,31,93426,44382,49044
Jalisco,32,114402,54377,60025
Jalisco,33,108468,52286,56182
Jalisco,34,103433,49811,53622
Jalisco,35,112075,53650,58425
Jalisco,36,109493,52735,56758
Jalisco,37,104458,50824,53634
Jalisco,38,112280,54797,57483
Jalisco,39,96928,46264,50664
Jalisco,40,111526,53101,58425
Jalisco,41,76645,36879,39766
Jalisco,42,102611,50263,52348
Jalisco,43,81639,38475,43164
Jalisco,44,74180,34951,39229
Jalisco,45,86318,40810,45508
Jalisco,46,73697,34522,39175
Jalisco,47,71085,33721,37364
Jalisco,48,73229,34631,38598
Jalisco,49,67212,31790,35422
Jalisco,50,83642,39116,44526
Jalisco,51,53656,25175,28481
Jalisco,52,68548,32461,36087
Jalisco,53,59708,28121,31587
Jalisco,54,58723,27236,31487
Jalisco,55,60868,28625,32243
Jalisco,56,55138,26178,28960
Jalisco,57,45989,21794,24195
Jalisco,58,47928,22596,25332
Jalisco,59,44457,21190,23267
Jalisco,60,56039,26341,29698
Jalisco,61,32072,14997,17075
Jalisco,62,43045,20432,22613
Jalisco,63,41738,19907,21831
Jalisco,64,37571,17660,19911
Jalisco,65,39455,18654,20801
Jalisco,66,30225,14221,16004
Jalisco,67,29174,14272,14902
Jalisco,68,30044,14044,16000
Jalisco,69,26439,12785,13654
Jalisco,70,32860,15171,17689
Jalisco,71,18009,8497,9512
Jalisco,72,25094,11866,13228
Jalisco,73,21332,9945,11387
Jalisco,74,20909,9693,11216
Jalisco,75,21182,9756,11426
Jalisco,76,16962,7799,9163
Jalisco,77,14037,6545,7492
Jalisco,78,16212,7585,8627
Jalisco,79,12354,5698,6656
Jalisco,80,16663,7289,9374
Jalisco,81,7948,3596,4352
Jalisco,82,10357,4610,5747
Jalisco,83,9418,4059,5359
Jalisco,84,9578,4214,5364
Jalisco,85,9099,3915,5184
Jalisco,86,7412,3269,4143
Jalisco,87,6246,2737,3509
Jalisco,88,5444,2378,3066
Jalisco,89,4519,1956,2563
Jalisco,90,4934,2021,2913
Jalisco,91,2157,880,1277
Jalisco,92,2749,1173,1576
Jalisco,93,2099,860,1239
Jalisco,94,1657,694,963
Jalisco,95,1425,578,847
Jalisco,96,1261,531,730
Jalisco,97,969,396,573
Jalisco,98,924,363,561
Jalisco,99,627,265,362
Jalisco,100,1084,415,669
Jalisco,NE,86669,43330,43339
México,0,260223,132751,127472
México,1,272650,138943,133707
México,2,293251,148345,144906
México,3,299657,150927,148730
México,4,300831,152161,148670
México,5,295535,150205,145330
México,6,299416,151355,148061
México,7,297888,150875,147013
México,8,307184,157000,150184
México,9,298251,150796,147455
México,10,309447,157904,151543
México,11,276220,139609,136611
México,12,286004,145171,140833
México,13,274367,138863,135504
México,14,282990,142075,140915
México,15,296386,149209,147177
México,16,282935,141878,141057
México,17,303242,152336,150906
México,18,310610,156454,154156
México,19,273975,134443,139532
México,20,298271,147077,151194
México,21,253943,124890,129053
México,22,283175,139670,143505
México,23,267826,130802,137024
México,24,261165,126388,134777
México,25,263223,126726,136497
México,26,245416,117377,128039
México,27,245805,117886,127919
México,28,256003,123535,132468
México,29,223407,106307,117100
México,30,284892,135285,149607
México,31,193356,90720,102636
México,32,254439,119330,135109
México,33,234898,111234,123664
México,34,230930,109359,121571
México,35,253500,119652,133848
México,36,248094,116810,131284
México,37,228127,108876,119251
México,38,255446,122156,133290
México,39,208821,99032,109789
México,40,268139,127692,140447
México,41,159034,75677,83357
México,42,232324,112636,119688
México,43,181380,85816,95564
México,44,162615,76549,86066
México,45,197046,94288,102758
México,46,163897,77266,86631
México,47,155844,74588,81256
México,48,165679,78711,86968
México,49,148698,70301,78397
México,50,188248,89295,98953
México,51,111201,52866,58335
México,52,147116,70649,76467
México,53,125428,59735,65693
México,54,123335,57280,66055
México,55,125119,59529,65590
México,56,113215,54956,58259
México,57,89802,43143,46659
México,58,96745,45921,50824
México,59,85003,40989,44014
México,60,111435,53258,58177
México,61,56565,26456,30109
México,62,78412,37369,41043
México,63,77238,36601,40637
México,64,68699,31988,36711
México,65,71795,34004,37791
México,66,50782,23763,27019
México,67,50129,23868,26261
México,68,53238,24484,28754
México,69,44194,20636,23558
México,70,58399,26567,31832
México,71,27939,12875,15064
México,72,42413,19431,22982
México,73,36774,16647,20127
México,74,35017,15918,19099
México,75,34851,15730,19121
México,76,28084,12695,15389
México,77,21780,9726,12054
México,78,26827,12188,14639
México,79,17881,7987,9894
México,80,25259,10628,14631
México,81,11070,4949,6121
México,82,15632,6661,8971
México,83,13516,5605,7911
México,84,13416,5450,7966
México,85,13408,5391,8017
México,86,10090,4193,5897
México,87,8517,3414,5103
México,88,6834,2796,4038
México,89,5649,2191,3458
México,90,6032,2299,3733
México,91,1996,785,1211
México,92,2791,1037,1754
México,93,2141,769,1372
México,94,1652,569,1083
México,95,1622,542,1080
México,96,1477,505,972
México,97,1025,334,691
México,98,1054,333,721
México,99,636,211,425
México,100,1378,424,954
México,NE,186548,93410,93138
Michoacán de Ocampo,0,82812,42124,40688
Michoacán de Ocampo,1,82605,41905,40700
Michoacán de Ocampo,2,86047,43621,42426
Michoacán de Ocampo,3,87620,44294,43326
Michoacán de Ocampo,4,86614,43673,42941
Michoacán de Ocampo,5,85597,43562,42035
Michoacán de Ocampo,6,87056,43849,43207
